sep=;
"Name:";"LQ2 NAS HL LED HIGH (OPT Assy-LED)(2UP) RH#3 2025-07-02"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8138 V";"Date:";"2025-07-03 ¿ÀÀü 3:56:01"
"Current:";"0.00006 A";"File:";"LQ2 NAS HL LED HIGH (OPT Assy-LED)(2UP) RH#3 2025-07-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"47494.800";"0";"2";"";"";"";"OK";"47494.800";"0";"2";"47494.800";"0";"2"
"1U - 3L (120%)";"6000";"-";"29890.430";"-3";"1";"";"";"";"OK";"29890.430";"-3";"1";"29890.430";"-3";"1"
"1U - 3R (120%)";"6000";"-";"32499.600";"3";"1";"";"";"";"OK";"32499.600";"3";"1";"32499.600";"3";"1"
"H - V (120%)";"48000";"60000";"69047.900";"0";"0";"56222.010";"0";"0.25";"OK";"69047.900";"0";"0";"69047.900";"0";"0"
"H - 3L (120%)";"18000";"-";"32779.510";"-3";"0";"";"";"";"OK";"32779.510";"-3";"0";"32779.510";"-3";"0"
"H - 3R (120%)";"18000";"-";"42176.500";"3";"0";"";"";"";"OK";"42176.500";"3";"0";"42176.500";"3";"0"
"H - 6L (120%)";"6000";"-";"15595.010";"-6";"0";"";"";"";"OK";"15595.010";"-6";"0";"15595.010";"-6";"0"
"H - 6R (120%)";"6000";"-";"20713.370";"6";"0";"";"";"";"OK";"20713.370";"6";"0";"20713.370";"6";"0"
"H - 9L (120%)";"3600";"-";"7509.597";"-9";"0";"";"";"";"OK";"7509.597";"-9";"0";"7509.597";"-9";"0"
"H - 9R (120%)";"3600";"-";"11275.390";"9";"0";"";"";"";"OK";"11275.390";"9";"0";"11275.390";"9";"0"
"H - 12L (120%)";"1800";"-";"4023.712";"-12";"0";"";"";"";"OK";"4023.712";"-12";"0";"4023.712";"-12";"0"
"H - 12R (120%)";"1800";"-";"7085.732";"12";"0";"";"";"";"OK";"7085.732";"12";"0";"7085.732";"12";"0"
"1.5D - V (120%)";"6000";"-";"29730.480";"0";"-1.5";"";"";"";"OK";"29730.480";"0";"-1.5";"29730.480";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"9162.067";"-9";"-1.5";"";"";"";"OK";"9162.067";"-9";"-1.5";"9162.067";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"14793.270";"9";"-1.5";"";"";"";"OK";"14793.270";"9";"-1.5";"14793.270";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"19443.780";"0";"-2.5";"";"";"";"OK";"19443.780";"0";"-2.5";"19443.780";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"5889.115";"-12";"-2.5";"";"";"";"OK";"5889.115";"-12";"-2.5";"5889.115";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"9407.989";"12";"-2.5";"";"";"";"OK";"9407.989";"12";"-2.5";"9407.989";"12";"-2.5"
"4D - V (120%)";"-";"9600";"10448.660";"0";"-4";"9604.926";"0";"-4.25";"NG";"10448.660";"0";"-4";"10448.660";"0";"-4"
"MAX";"-";"-";"71807.020";"0.29";"-0.09";"";"";"";"OK";"71807.020";"0.29";"-0.09";"71807.020";"0.29";"-0.09"
