sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;30070.380;0.00
2;10;30080.370;0.03
3;20;30090.370;0.07
4;30;30080.370;0.03
5;40;30070.380;0.00
6;50;30080.370;0.03
7;60;30070.380;0.00
8;70;30060.380;-0.03
9;80;30070.380;0.00
10;90;30060.380;-0.03
11;100;30060.380;-0.03
12;110;30060.380;-0.03
13;120;30070.380;0.00
14;130;30050.380;-0.07
15;140;30040.380;-0.10
16;150;30050.380;-0.07
17;160;30040.380;-0.10
18;170;30040.380;-0.10
19;180;30040.380;-0.10
20;190;30050.380;-0.07
21;200;30040.380;-0.10
22;210;30040.380;-0.10
23;220;30050.380;-0.07
24;230;30040.380;-0.10
25;240;30050.380;-0.07
26;250;30040.380;-0.10
27;260;30030.390;-0.13
28;270;30030.390;-0.13
29;280;30040.380;-0.10
30;290;30040.380;-0.10
31;300;30030.390;-0.13
32;310;30030.390;-0.13
33;320;30020.390;-0.17
34;330;30030.390;-0.13
35;340;30030.390;-0.13
36;350;30030.390;-0.13
37;360;30030.390;-0.13
38;370;30030.390;-0.13
39;380;30020.390;-0.17
40;390;30020.390;-0.17
41;400;30020.390;-0.17
42;410;30010.390;-0.20
43;420;30040.380;-0.10
44;430;30020.390;-0.17
45;440;30020.390;-0.17
46;450;30030.390;-0.13
47;460;30030.390;-0.13
48;470;30030.390;-0.13
49;480;30020.390;-0.17
50;490;30030.390;-0.13
51;500;30020.390;-0.17
52;510;30010.390;-0.20
53;520;30010.390;-0.20
54;530;30020.390;-0.17
55;540;30020.390;-0.17
56;550;30020.390;-0.17
57;560;30020.390;-0.17
58;570;30020.390;-0.17
59;580;30010.390;-0.20
60;590;30020.390;-0.17
61;600;30020.390;-0.17
62;610;30030.390;-0.13
63;620;30020.390;-0.17
64;630;30010.390;-0.20
65;640;30010.390;-0.20
66;650;30030.390;-0.13
67;660;30020.390;-0.17
68;670;30000.400;-0.23
69;680;30030.390;-0.13
70;690;30030.390;-0.13
71;700;30020.390;-0.17
72;710;30020.390;-0.17
73;720;30030.390;-0.13
74;730;30030.390;-0.13
75;740;30020.390;-0.17
76;750;30010.390;-0.20
77;760;30020.390;-0.17
78;770;30020.390;-0.17
79;780;30020.390;-0.17
80;790;30030.390;-0.13
81;800;30030.390;-0.13
82;810;30030.390;-0.13
83;820;30020.390;-0.17
84;830;30020.390;-0.17
85;840;30020.390;-0.17
86;850;30030.390;-0.13
87;860;30030.390;-0.13
88;870;30030.390;-0.13
89;880;30030.390;-0.13
90;890;30040.380;-0.10
91;900;30020.390;-0.17
92;910;30030.390;-0.13
93;920;30020.390;-0.17
94;930;30030.390;-0.13
95;940;30020.390;-0.17
96;950;30020.390;-0.17
97;960;30030.390;-0.13
