sep=;
"Name:";"LQ2 NAS HL LED LOW (OPT Assy-LED) RH#3 2025-07-02"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8138 V";"Date:";"2025-07-03 ¿ÀÀü 2:09:07"
"Current:";"0.00009 A";"File:";"LQ2 NAS HL LED LOW (OPT Assy-LED) RH#3 2025-07-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.100) 112.864";"(-90) -2.3";"10";"(0.100) 111.564";"(-90) -2.3";"(10) 10.25";"NG";"0.100";"-90";"10";"112.864";"-2.3";"10"
"4U - 8R (120%)";"76.8";"-";"150.552";"8";"4";"";"";"";"OK";"150.552";"8";"4";"150.552";"8";"4"
"4U - 8L (120%)";"76.8";"-";"144.554";"-8";"4";"";"";"";"OK";"144.554";"-8";"4";"144.554";"-8";"4"
"2U-4L (120%)";"162";"-";"208.533";"-4";"2";"";"";"";"OK";"208.533";"-4";"2";"208.533";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(281.444) 323.819";"(1) 3";"1.5";"";"";"";"OK";"281.444";"1";"1.5";"323.819";"3";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(216.451) 324.789";"(19.25) 3.25";"1.5";"";"";"";"OK";"216.451";"19.25";"1.5";"324.789";"3.25";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(71.465) 275.736";"(-20) -1.5";"1";"";"";"";"OK";"71.465";"-20";"1";"275.736";"-1.5";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(180.297) 384.871";"(-15) -7.5";"0.5";"";"";"";"OK";"180.297";"-15";"0.5";"384.871";"-7.5";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(499.754) 527.186";"(1.6) 3";"0.5";"(1097.902) 1369.569";"(1) 3";"0.25";"OK";"499.754";"1.6";"0.5";"527.186";"3";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(504.436) 531.087";"(1.8) 3";"0.5";"";"";"";"OK";"504.436";"1.8";"0.5";"531.087";"3";"0.5"
"H - 4L (120%)";"162";"-";"824.236";"-4";"0";"";"";"";"OK";"824.236";"-4";"0";"824.236";"-4";"0"
"H - 8L (120%)";"76.8";"-";"1367.063";"-8";"0";"";"";"";"OK";"1367.063";"-8";"0";"1367.063";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"30200.330";"2";"-1.5";"";"";"";"OK";"30200.330";"2";"-1.5";"30200.330";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"4741.482";"-15";"-2";"";"";"";"OK";"4741.482";"-15";"-2";"4741.482";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"8162.388";"15";"-2";"";"";"";"OK";"8162.388";"15";"-2";"8162.388";"15";"-2"
"4D - 4R (120%)";"-";"10000";"11263.400";"4";"-4";"10237.720";"4";"-4.25";"NG";"11263.400";"4";"-4";"11263.400";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"28011.040";"1.3";"-0.6";"";"";"";"OK";"28011.040";"1.3";"-0.6";"28011.040";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"28160.990";"0";"-0.86";"";"";"";"OK";"28160.990";"0";"-0.86";"28160.990";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"15397.070";"-3.5";"-0.86";"9166.066";"-3.5";"-0.61";"OK";"15397.070";"-3.5";"-0.86";"15397.070";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"8936.140";"-9";"-2";"";"";"";"OK";"8936.140";"-9";"-2";"8936.140";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"14137.480";"9";"-2";"";"";"";"OK";"14137.480";"9";"-2";"14137.480";"9";"-2"
"4D - 20L (120%)";"360";"-";"1449.636";"-20";"-4";"";"";"";"OK";"1449.636";"-20";"-4";"1449.636";"-20";"-4"
"4D - 20R (120%)";"360";"-";"3270.953";"20";"-4";"";"";"";"OK";"3270.953";"20";"-4";"3270.953";"20";"-4"
"4D - V (120%)";"-";"9600";"10979.490";"0";"-4";"10077.770";"0";"-4.25";"NG";"10979.490";"0";"-4";"10979.490";"0";"-4"
"MAX";"-";"-";"31639.630";"1.6";"-1.08";"";"";"";"OK";"31639.630";"1.6";"-1.08";"31639.630";"1.6";"-1.08"
