sep=;
"Name:";"LQ2 NAS HL LED LOW (OPT Assy-LED)(2DOWN) RH#3 2025-07-02"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8136 V";"Date:";"2025-07-03 ¿ÀÀü 4:43:37"
"Current:";"0.00001 A";"File:";"LQ2 NAS HL LED LOW (OPT Assy-LED)(2DOWN) RH#3 2025-07-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.025) 119.462";"(-89.1) -2.2";"(24) 11";"(0.025) 118.962";"(-89.1) -2.2";"(24) 11.25";"NG";"0.025";"-89.1";"24";"119.462";"-2.2";"11"
"4U - 8R (120%)";"76.8";"-";"154.551";"8";"4";"";"";"";"OK";"154.551";"8";"4";"154.551";"8";"4"
"4U - 8L (120%)";"76.8";"-";"145.653";"-8";"4";"";"";"";"OK";"145.653";"-8";"4";"145.653";"-8";"4"
"2U-4L (120%)";"162";"-";"207.634";"-4";"2";"";"";"";"OK";"207.634";"-4";"2";"207.634";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(286.022) 344.641";"(1) 3";"1.5";"";"";"";"OK";"286.022";"1";"1.5";"344.641";"3";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(205.521) 346.224";"(20) 3.25";"1.5";"";"";"";"OK";"205.521";"20";"1.5";"346.224";"3.25";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(70.466) 272.997";"(-20) -1.5";"1";"";"";"";"OK";"70.466";"-20";"1";"272.997";"-1.5";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(186.247) 411.059";"(-15) -7";"0.5";"";"";"";"OK";"186.247";"-15";"0.5";"411.059";"-7";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(523.280) 549.768";"(1.6) 3";"0.5";"(1164.585) 1360.136";"(1) 3";"0.25";"OK";"523.280";"1.6";"0.5";"549.768";"3";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(526.279) 552.470";"(1.6) 3";"0.5";"";"";"";"OK";"526.279";"1.6";"0.5";"552.470";"3";"0.5"
"H - 4L (120%)";"162";"-";"985.585";"-4";"0";"";"";"";"OK";"985.585";"-4";"0";"985.585";"-4";"0"
"H - 8L (120%)";"76.8";"-";"1249.000";"-8";"0";"";"";"";"OK";"1249.000";"-8";"0";"1249.000";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"29890.430";"2";"-1.5";"";"";"";"OK";"29890.430";"2";"-1.5";"29890.430";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"4712.492";"-15";"-2";"";"";"";"OK";"4712.492";"-15";"-2";"4712.492";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"8071.417";"15";"-2";"";"";"";"OK";"8071.417";"15";"-2";"8071.417";"15";"-2"
"4D - 4R (120%)";"-";"10000";"11086.450";"4";"-4";"10084.770";"4";"-4.25";"NG";"11086.450";"4";"-4";"11086.450";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"28071.020";"1.3";"-0.6";"";"";"";"OK";"28071.020";"1.3";"-0.6";"28071.020";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"27541.190";"0";"-0.86";"";"";"";"OK";"27541.190";"0";"-0.86";"27541.190";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"14971.210";"-3.5";"-0.86";"9299.023";"-3.5";"-0.61";"OK";"14971.210";"-3.5";"-0.86";"14971.210";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"8774.191";"-9";"-2";"";"";"";"OK";"8774.191";"-9";"-2";"8774.191";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"13822.580";"9";"-2";"";"";"";"OK";"13822.580";"9";"-2";"13822.580";"9";"-2"
"4D - 20L (120%)";"360";"-";"1198.117";"-20";"-4";"";"";"";"OK";"1198.117";"-20";"-4";"1198.117";"-20";"-4"
"4D - 20R (120%)";"360";"-";"3244.961";"20";"-4";"";"";"";"OK";"3244.961";"20";"-4";"3244.961";"20";"-4"
"4D - V (120%)";"-";"9600";"10793.550";"0";"-4";"9986.804";"0";"-4.25";"NG";"10793.550";"0";"-4";"10793.550";"0";"-4"
"MAX";"-";"-";"31399.950";"1.65";"-1.07";"";"";"";"OK";"31399.950";"1.65";"-1.07";"31399.950";"1.65";"-1.07"
