sep=;
"Name:";"LQ2 NAS HL LED LOW (OPT Assy-LED)(2UP) RH#3 2025-07-02"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8137 V";"Date:";"2025-07-03 ¿ÀÀü 3:40:36"
"Current:";"0.00017 A";"File:";"LQ2 NAS HL LED LOW (OPT Assy-LED)(2UP) RH#3 2025-07-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.014) 106.639";"(-83) -1.8";"(13) 10";"(0.014) 105.166";"(-83) -1.8";"(13) 10.25";"NG";"0.014";"-83";"13";"106.639";"-1.8";"10"
"4U - 8R (120%)";"76.8";"-";"148.952";"8";"4";"";"";"";"OK";"148.952";"8";"4";"148.952";"8";"4"
"4U - 8L (120%)";"76.8";"-";"143.354";"-8";"4";"";"";"";"OK";"143.354";"-8";"4";"143.354";"-8";"4"
"2U-4L (120%)";"162";"-";"210.333";"-4";"2";"";"";"";"OK";"210.333";"-4";"2";"210.333";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(289.004) 343.078";"(1) 3";"1.5";"";"";"";"OK";"289.004";"1";"1.5";"343.078";"3";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(207.953) 344.032";"(19.25) 3";"1.5";"";"";"";"OK";"207.953";"19.25";"1.5";"344.032";"3";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(70.568) 280.088";"(-20) -1.5";"1";"";"";"";"OK";"70.568";"-20";"1";"280.088";"-1.5";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(156.347) 418.612";"(-15) -7.25";"0.5";"";"";"";"OK";"156.347";"-15";"0.5";"418.612";"-7.25";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(555.611) 576.320";"(1.8) 3";"0.5";"(1342.802) 1603.819";"(1) 3";"0.25";"OK";"555.611";"1.8";"0.5";"576.320";"3";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(557.114) 578.179";"(1.8) 3";"0.5";"";"";"";"OK";"557.114";"1.8";"0.5";"578.179";"3";"0.5"
"H - 4L (120%)";"162";"-";"1121.341";"-4";"0";"";"";"";"OK";"1121.341";"-4";"0";"1121.341";"-4";"0"
"H - 8L (120%)";"76.8";"-";"1306.782";"-8";"0";"";"";"";"OK";"1306.782";"-8";"0";"1306.782";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"29820.460";"2";"-1.5";"";"";"";"OK";"29820.460";"2";"-1.5";"29820.460";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"4740.483";"-15";"-2";"";"";"";"OK";"4740.483";"-15";"-2";"4740.483";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"8131.397";"15";"-2";"";"";"";"OK";"8131.397";"15";"-2";"8131.397";"15";"-2"
"4D - 4R (120%)";"-";"10000";"10899.510";"4";"-4";"9892.834";"4";"-4.25";"OK";"10899.510";"4";"-4";"10899.510";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"28630.840";"1.3";"-0.6";"";"";"";"OK";"28630.840";"1.3";"-0.6";"28630.840";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"28041.030";"0";"-0.86";"";"";"";"OK";"28041.030";"0";"-0.86";"28041.030";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"15694.980";"-3.5";"-0.86";"10214.730";"-3.5";"-0.61";"NG";"15694.980";"-3.5";"-0.86";"15694.980";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"8811.180";"-9";"-2";"";"";"";"OK";"8811.180";"-9";"-2";"8811.180";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"13874.560";"9";"-2";"";"";"";"OK";"13874.560";"9";"-2";"13874.560";"9";"-2"
"4D - 20L (120%)";"360";"-";"1603.487";"-20";"-4";"";"";"";"OK";"1603.487";"-20";"-4";"1603.487";"-20";"-4"
"4D - 20R (120%)";"360";"-";"3323.936";"20";"-4";"";"";"";"OK";"3323.936";"20";"-4";"3323.936";"20";"-4"
"4D - V (120%)";"-";"9600";"10659.590";"0";"-4";"9849.848";"0";"-4.25";"NG";"10659.590";"0";"-4";"10659.590";"0";"-4"
"MAX";"-";"-";"31539.910";"1.57";"-1.01";"";"";"";"OK";"31539.910";"1.57";"-1.01";"31539.910";"1.57";"-1.01"
