sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;60040.790;2.91
2;10;59930.820;2.71
3;20;59830.850;2.54
4;30;59730.880;2.36
5;40;59630.910;2.19
6;50;59550.940;2.04
7;60;59450.970;1.87
8;70;59400.990;1.78
9;80;59311.020;1.62
10;90;59241.040;1.50
11;100;59171.060;1.37
12;110;59091.090;1.23
13;120;59021.110;1.11
14;130;58951.130;0.99
15;140;58871.160;0.85
16;150;58821.180;0.76
17;160;58751.200;0.63
18;170;58701.210;0.55
19;180;58631.230;0.42
20;190;58591.250;0.35
21;200;58541.260;0.26
22;210;58501.280;0.19
23;220;58441.300;0.09
24;230;58391.310;0.00
25;240;58331.330;-0.11
26;250;58301.340;-0.16
27;260;58271.350;-0.21
28;270;58231.360;-0.28
29;280;58181.380;-0.37
30;290;58141.390;-0.44
31;300;58091.410;-0.53
32;310;58071.410;-0.56
33;320;58031.430;-0.63
34;330;57991.440;-0.71
35;340;57951.450;-0.78
36;350;57911.460;-0.85
37;360;57871.480;-0.92
38;370.016;57871.480;-0.92
39;380.016;57831.490;-0.99
40;390.016;57801.500;-1.04
41;400.016;57761.510;-1.11
42;410.016;57761.510;-1.11
43;420.016;57711.530;-1.20
44;430.016;57691.540;-1.23
45;440.016;57661.550;-1.29
46;450.016;57661.550;-1.29
47;460.016;57631.550;-1.34
48;470.016;57611.560;-1.37
49;480.016;57581.570;-1.43
50;490.016;57551.580;-1.48
51;500.016;57541.580;-1.50
52;510.016;57501.600;-1.57
53;520.016;57521.590;-1.53
54;530.016;57471.610;-1.62
55;540.016;57451.610;-1.66
56;550.016;57451.610;-1.66
57;560.016;57441.620;-1.67
58;570.016;57411.630;-1.73
59;580.016;57371.640;-1.80
60;590.016;57371.640;-1.80
61;600.016;57361.640;-1.82
62;610.016;57361.640;-1.82
63;620.016;57311.660;-1.90
64;630.016;57291.660;-1.94
65;640.016;57281.670;-1.96
66;650.016;57281.670;-1.96
67;660.016;57261.670;-1.99
68;670.016;57251.680;-2.01
69;680.016;57241.680;-2.03
70;690.016;57221.690;-2.06
71;700.016;57191.700;-2.12
72;710.016;57181.700;-2.13
73;720.016;57191.700;-2.12
74;730.016;57151.710;-2.19
75;740.016;57151.710;-2.19
76;750.016;57141.710;-2.20
77;760.016;57111.720;-2.26
78;770.016;57101.720;-2.27
79;780.016;57081.730;-2.31
80;790.016;57081.730;-2.31
81;800.016;57061.740;-2.34
82;810.016;57051.740;-2.36
83;820.016;57021.750;-2.41
84;830.016;57021.750;-2.41
85;840.016;57021.750;-2.41
86;850.016;57011.750;-2.43
87;860.016;57011.750;-2.43
88;870.016;56991.760;-2.47
89;880.016;56981.760;-2.49
90;890.016;56981.760;-2.49
91;900.016;56981.760;-2.49
92;910.016;56941.780;-2.56
93;920.016;56941.780;-2.56
94;930.016;56931.780;-2.57
95;940.016;56921.780;-2.59
96;950.016;56901.790;-2.63
97;960.016;56901.790;-2.63
98;970.016;56901.790;-2.63
99;980.016;56891.790;-2.64
100;990.016;56881.790;-2.66
101;1000.016;56851.800;-2.71
102;1010.016;56851.800;-2.71
103;1020.016;56841.810;-2.73
104;1030.016;56831.810;-2.75
105;1040.016;56821.810;-2.77
106;1050.016;56831.810;-2.75
107;1060.016;56811.820;-2.79
108;1070.016;56801.820;-2.80
109;1080.016;56801.820;-2.80
110;1090.016;56791.820;-2.82
111;1100.016;56791.820;-2.82
112;1110.016;56751.840;-2.89
113;1120.016;56751.840;-2.89
114;1130.016;56751.840;-2.89
115;1140.016;56751.840;-2.89
116;1150.016;56741.840;-2.91
117;1160.016;56731.840;-2.93
118;1170.016;56711.850;-2.96
119;1180.016;56721.850;-2.94
120;1190.016;56711.850;-2.96
