sep=;
"Name:";"LQ2 NAS HL LED HIGH (STD Assy-LED) RH#1 2025-07-02"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8137 V";"Date:";"2025-07-03 ¿ÀÀü 12:47:26"
"Current:";"0.00013 A";"File:";"LQ2 NAS HL LED HIGH (STD Assy-LED) RH#1 2025-07-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"44465.770";"0";"2";"";"";"";"OK";"44465.770";"0";"2";"44465.770";"0";"2"
"1U - 3L (120%)";"6000";"-";"27861.080";"-3";"1";"";"";"";"OK";"27861.080";"-3";"1";"27861.080";"-3";"1"
"1U - 3R (120%)";"6000";"-";"30710.170";"3";"1";"";"";"";"OK";"30710.170";"3";"1";"30710.170";"3";"1"
"H - V (120%)";"48000";"60000";"56801.820";"0";"0";"";"";"";"OK";"56801.820";"0";"0";"56801.820";"0";"0"
"H - 3L (120%)";"18000";"-";"28950.730";"-3";"0";"";"";"";"OK";"28950.730";"-3";"0";"28950.730";"-3";"0"
"H - 3R (120%)";"18000";"-";"33759.200";"3";"0";"";"";"";"OK";"33759.200";"3";"0";"33759.200";"3";"0"
"H - 6L (120%)";"6000";"-";"13182.780";"-6";"0";"";"";"";"OK";"13182.780";"-6";"0";"13182.780";"-6";"0"
"H - 6R (120%)";"6000";"-";"17454.410";"6";"0";"";"";"";"OK";"17454.410";"6";"0";"17454.410";"6";"0"
"H - 9L (120%)";"3600";"-";"6176.023";"-9";"0";"";"";"";"OK";"6176.023";"-9";"0";"6176.023";"-9";"0"
"H - 9R (120%)";"3600";"-";"9356.006";"9";"0";"";"";"";"OK";"9356.006";"9";"0";"9356.006";"9";"0"
"H - 12L (120%)";"1800";"-";"3257.957";"-12";"0";"";"";"";"OK";"3257.957";"-12";"0";"3257.957";"-12";"0"
"H - 12R (120%)";"1800";"-";"5222.329";"12";"0";"";"";"";"OK";"5222.329";"12";"0";"5222.329";"12";"0"
"1.5D - V (120%)";"6000";"-";"29080.690";"0";"-1.5";"";"";"";"OK";"29080.690";"0";"-1.5";"29080.690";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"8073.416";"-9";"-1.5";"";"";"";"OK";"8073.416";"-9";"-1.5";"8073.416";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"14322.420";"9";"-1.5";"";"";"";"OK";"14322.420";"9";"-1.5";"14322.420";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"19753.680";"0";"-2.5";"";"";"";"OK";"19753.680";"0";"-2.5";"19753.680";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"5807.142";"-12";"-2.5";"";"";"";"OK";"5807.142";"-12";"-2.5";"5807.142";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"8549.264";"12";"-2.5";"";"";"";"OK";"8549.264";"12";"-2.5";"8549.264";"12";"-2.5"
"4D - V (120%)";"-";"9600";"10526.630";"0";"-4";"9746.881";"0";"-4.25";"NG";"10526.630";"0";"-4";"10526.630";"0";"-4"
"MAX";"-";"-";"64109.480";"0.25";"-0.14";"";"";"";"OK";"64109.480";"0.25";"-0.14";"64109.480";"0.25";"-0.14"
