sep=;
"Name:";"LQ2 NAS HL LED HIGH (STD Assy-LED)(2DOWN) RH#1 2025-07-02"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8139 V";"Date:";"2025-07-03 ¿ÀÀü 1:36:54"
"Current:";"0.00001 A";"File:";"LQ2 NAS HL LED HIGH (STD Assy-LED)(2DOWN) RH#1 2025-07-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"44385.790";"0";"2";"";"";"";"OK";"44385.790";"0";"2";"44385.790";"0";"2"
"1U - 3L (120%)";"6000";"-";"27951.050";"-3";"1";"";"";"";"OK";"27951.050";"-3";"1";"27951.050";"-3";"1"
"1U - 3R (120%)";"6000";"-";"30590.210";"3";"1";"";"";"";"OK";"30590.210";"3";"1";"30590.210";"3";"1"
"H - V (120%)";"48000";"60000";"53292.950";"0";"0";"";"";"";"OK";"53292.950";"0";"0";"53292.950";"0";"0"
"H - 3L (120%)";"18000";"-";"29050.700";"-3";"0";"";"";"";"OK";"29050.700";"-3";"0";"29050.700";"-3";"0"
"H - 3R (120%)";"18000";"-";"33359.320";"3";"0";"";"";"";"OK";"33359.320";"3";"0";"33359.320";"3";"0"
"H - 6L (120%)";"6000";"-";"13169.790";"-6";"0";"";"";"";"OK";"13169.790";"-6";"0";"13169.790";"-6";"0"
"H - 6R (120%)";"6000";"-";"17434.420";"6";"0";"";"";"";"OK";"17434.420";"6";"0";"17434.420";"6";"0"
"H - 9L (120%)";"3600";"-";"6015.075";"-9";"0";"";"";"";"OK";"6015.075";"-9";"0";"6015.075";"-9";"0"
"H - 9R (120%)";"3600";"-";"9211.052";"9";"0";"";"";"";"OK";"9211.052";"9";"0";"9211.052";"9";"0"
"H - 12L (120%)";"1800";"-";"3205.974";"-12";"0";"";"";"";"OK";"3205.974";"-12";"0";"3205.974";"-12";"0"
"H - 12R (120%)";"1800";"-";"5200.335";"12";"0";"";"";"";"OK";"5200.335";"12";"0";"5200.335";"12";"0"
"1.5D - V (120%)";"6000";"-";"29130.680";"0";"-1.5";"";"";"";"OK";"29130.680";"0";"-1.5";"29130.680";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"8155.390";"-9";"-1.5";"";"";"";"OK";"8155.390";"-9";"-1.5";"8155.390";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"14285.430";"9";"-1.5";"";"";"";"OK";"14285.430";"9";"-1.5";"14285.430";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"19843.650";"0";"-2.5";"";"";"";"OK";"19843.650";"0";"-2.5";"19843.650";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"5834.133";"-12";"-2.5";"";"";"";"OK";"5834.133";"-12";"-2.5";"5834.133";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"8603.246";"12";"-2.5";"";"";"";"OK";"8603.246";"12";"-2.5";"8603.246";"12";"-2.5"
"4D - V (120%)";"-";"9600";"10708.570";"0";"-4";"9938.819";"0";"-4.25";"NG";"10708.570";"0";"-4";"10708.570";"0";"-4"
"MAX";"-";"-";"63559.660";"0.29";"-0.21";"";"";"";"OK";"63559.660";"0.29";"-0.21";"63559.660";"0.29";"-0.21"
