sep=;
"Name:";"LQ2 NAS HL LED HIGH (STD Assy-LED)(2UP) RH#1 2025-07-02"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8137 V";"Date:";"2025-07-03 ¿ÀÀü 1:13:46"
"Current:";"0.00007 A";"File:";"LQ2 NAS HL LED HIGH (STD Assy-LED)(2UP) RH#1 2025-07-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"2U - V (120%)";"1800";"-";"44585.730";"0";"2";"";"";"";"OK";"44585.730";"0";"2";"44585.730";"0";"2"
"1U - 3L (120%)";"6000";"-";"27881.080";"-3";"1";"";"";"";"OK";"27881.080";"-3";"1";"27881.080";"-3";"1"
"1U - 3R (120%)";"6000";"-";"30670.180";"3";"1";"";"";"";"OK";"30670.180";"3";"1";"30670.180";"3";"1"
"H - V (120%)";"48000";"60000";"56841.810";"0";"0";"";"";"";"OK";"56841.810";"0";"0";"56841.810";"0";"0"
"H - 3L (120%)";"18000";"-";"29040.710";"-3";"0";"";"";"";"OK";"29040.710";"-3";"0";"29040.710";"-3";"0"
"H - 3R (120%)";"18000";"-";"34239.040";"3";"0";"";"";"";"OK";"34239.040";"3";"0";"34239.040";"3";"0"
"H - 6L (120%)";"6000";"-";"13099.810";"-6";"0";"";"";"";"OK";"13099.810";"-6";"0";"13099.810";"-6";"0"
"H - 6R (120%)";"6000";"-";"17674.340";"6";"0";"";"";"";"OK";"17674.340";"6";"0";"17674.340";"6";"0"
"H - 9L (120%)";"3600";"-";"5986.084";"-9";"0";"";"";"";"OK";"5986.084";"-9";"0";"5986.084";"-9";"0"
"H - 9R (120%)";"3600";"-";"9213.052";"9";"0";"";"";"";"OK";"9213.052";"9";"0";"9213.052";"9";"0"
"H - 12L (120%)";"1800";"-";"3065.019";"-12";"0";"";"";"";"OK";"3065.019";"-12";"0";"3065.019";"-12";"0"
"H - 12R (120%)";"1800";"-";"5076.375";"12";"0";"";"";"";"OK";"5076.375";"12";"0";"5076.375";"12";"0"
"1.5D - V (120%)";"6000";"-";"28900.750";"0";"-1.5";"";"";"";"OK";"28900.750";"0";"-1.5";"28900.750";"0";"-1.5"
"1.5D - 9L (120%)";"2400";"-";"8101.407";"-9";"-1.5";"";"";"";"OK";"8101.407";"-9";"-1.5";"8101.407";"-9";"-1.5"
"1.5D - 9R (120%)";"2400";"-";"14290.430";"9";"-1.5";"";"";"";"OK";"14290.430";"9";"-1.5";"14290.430";"9";"-1.5"
"2.5D - V (120%)";"3000";"-";"19563.740";"0";"-2.5";"";"";"";"OK";"19563.740";"0";"-2.5";"19563.740";"0";"-2.5"
"2.5D - 12L (120%)";"1200";"-";"5851.127";"-12";"-2.5";"";"";"";"OK";"5851.127";"-12";"-2.5";"5851.127";"-12";"-2.5"
"2.5D - 12R (120%)";"1200";"-";"8668.226";"12";"-2.5";"";"";"";"OK";"8668.226";"12";"-2.5";"8668.226";"12";"-2.5"
"4D - V (120%)";"-";"9600";"10531.630";"0";"-4";"9759.876";"0";"-4.25";"NG";"10531.630";"0";"-4";"10531.630";"0";"-4"
"MAX";"-";"-";"64779.270";"0.28";"-0.15";"";"";"";"OK";"64779.270";"0.28";"-0.15";"64779.270";"0.28";"-0.15"
