sep=;
"No.";"Time [s]";"I [cd]";"Irel [%]"
1;0;31509.920;0.00
2;10;31499.920;-0.03
3;20;31509.920;0.00
4;30;31499.920;-0.03
5;40;31509.920;0.00
6;50.015;31499.920;-0.03
7;60.015;31519.910;0.03
8;70.015;31499.920;-0.03
9;80.015;31509.920;0.00
10;90.015;31499.920;-0.03
11;100.046;31499.920;-0.03
12;110.046;31499.920;-0.03
13;120.046;31499.920;-0.03
14;130.046;31499.920;-0.03
15;140.046;31499.920;-0.03
16;150.046;31509.920;0.00
17;160.046;31509.920;0.00
18;170.046;31499.920;-0.03
19;180.046;31509.920;0.00
20;190.046;31499.920;-0.03
21;200.046;31489.920;-0.06
22;210.046;31499.920;-0.03
23;220.046;31509.920;0.00
24;230.046;31489.920;-0.06
25;240.046;31489.920;-0.06
26;250.046;31489.920;-0.06
27;260.046;31499.920;-0.03
28;270.046;31369.960;-0.45
29;280.046;31499.920;-0.03
30;290.062;31499.920;-0.03
31;300.062;31499.920;-0.03
32;310.062;31489.920;-0.06
33;320.062;31479.920;-0.10
34;330.062;31489.920;-0.06
35;340.062;31489.920;-0.06
36;350.062;31489.920;-0.06
37;360.062;31489.920;-0.06
38;370.062;31479.920;-0.10
39;380.062;31479.920;-0.10
40;390.078;31489.920;-0.06
41;400.078;31489.920;-0.06
42;410.078;31489.920;-0.06
43;420.078;31489.920;-0.06
44;430.078;31479.920;-0.10
45;440.078;31479.920;-0.10
46;450.078;31479.920;-0.10
47;460.078;31479.920;-0.10
48;470.078;31479.920;-0.10
49;480.078;31479.920;-0.10
50;490.078;31469.930;-0.13
51;500.078;31479.920;-0.10
52;510.078;31469.930;-0.13
53;520.078;31469.930;-0.13
54;530.078;31469.930;-0.13
55;540.078;31469.930;-0.13
56;550.078;31469.930;-0.13
57;560.078;31469.930;-0.13
58;570.078;31459.930;-0.16
59;580.078;31469.930;-0.13
60;590.078;31469.930;-0.13
61;600.078;31469.930;-0.13
62;610.078;31469.930;-0.13
63;620.078;31459.930;-0.16
64;630.078;31459.930;-0.16
65;640.078;31459.930;-0.16
66;650.078;31459.930;-0.16
67;660.078;31459.930;-0.16
68;670.078;31459.930;-0.16
69;680.078;31459.930;-0.16
70;690.078;31459.930;-0.16
71;700.078;31449.930;-0.19
72;710.078;31459.930;-0.16
73;720.078;31469.930;-0.13
74;730.078;31459.930;-0.16
75;740.078;31449.930;-0.19
76;750.078;31439.940;-0.22
77;760.078;31449.930;-0.19
78;770.078;31449.930;-0.19
79;780.078;31439.940;-0.22
80;790.078;31449.930;-0.19
81;800.078;31449.930;-0.19
82;810.078;31449.930;-0.19
83;820.078;31439.940;-0.22
84;830.078;31439.940;-0.22
85;840.078;31439.940;-0.22
86;850.078;31439.940;-0.22
87;860.078;31439.940;-0.22
88;870.078;31449.930;-0.19
89;880.078;31439.940;-0.22
90;890.078;31439.940;-0.22
91;900.078;31439.940;-0.22
92;910.078;31439.940;-0.22
93;920.078;31439.940;-0.22
94;930.078;31439.940;-0.22
95;940.078;31439.940;-0.22
96;950.078;31429.940;-0.25
97;960.078;31429.940;-0.25
