sep=;
"Name:";"LQ2 NAS HL LED LOW (STD Assy-LED) RH#1 2025-07-02"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8138 V";"Date:";"2025-07-02 ¿ÀÈÄ 11:56:41"
"Current:";"0.00011 A";"File:";"LQ2 NAS HL LED LOW (STD Assy-LED) RH#1 2025-07-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.100) 108.444";"(-90) 4.1";"(10) 21";"(0.100) 107.965";"(-90) 4.1";"(10) 20.75";"NG";"0.100";"-90";"10";"108.444";"4.1";"21"
"4U - 8R (120%)";"76.8";"-";"141.155";"8";"4";"";"";"";"OK";"141.155";"8";"4";"141.155";"8";"4"
"4U - 8L (120%)";"76.8";"-";"132.758";"-8";"4";"";"";"";"OK";"132.758";"-8";"4";"132.758";"-8";"4"
"2U-4L (120%)";"162";"-";"192.638";"-4";"2";"";"";"";"OK";"192.638";"-4";"2";"192.638";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(300.421) 317.888";"(1) 3";"1.5";"";"";"";"OK";"300.421";"1";"1.5";"317.888";"3";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(193.287) 320.398";"(20) 3.75";"1.5";"";"";"";"OK";"193.287";"20";"1.5";"320.398";"3.75";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(66.666) 315.731";"(-20) -1.5";"1";"";"";"";"OK";"66.666";"-20";"1";"315.731";"-1.5";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(138.287) 399.563";"(-15) -1.5";"0.5";"";"";"";"OK";"138.287";"-15";"0.5";"399.563";"-1.5";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(578.334) 622.143";"(3) 1.2";"0.5";"(1088.890) 1149.637";"(1) 2.6";"0.25";"OK";"578.334";"3";"0.5";"622.143";"1.2";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(580.434) 625.435";"(3) 1.2";"0.5";"";"";"";"OK";"580.434";"3";"0.5";"625.435";"1.2";"0.5"
"H - 4L (120%)";"162";"-";"441.459";"-4";"0";"";"";"";"OK";"441.459";"-4";"0";"441.459";"-4";"0"
"H - 8L (120%)";"76.8";"-";"720.369";"-8";"0";"";"";"";"OK";"720.369";"-8";"0";"720.369";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"31769.830";"2";"-1.5";"";"";"";"OK";"31769.830";"2";"-1.5";"31769.830";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"4561.540";"-15";"-2";"";"";"";"OK";"4561.540";"-15";"-2";"4561.540";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"7565.579";"15";"-2";"";"";"";"OK";"7565.579";"15";"-2";"7565.579";"15";"-2"
"4D - 4R (120%)";"-";"10000";"10882.520";"4";"-4";"10087.770";"4";"-4.25";"NG";"10882.520";"4";"-4";"10882.520";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"28900.750";"1.3";"-0.6";"";"";"";"OK";"28900.750";"1.3";"-0.6";"28900.750";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"29160.670";"0";"-0.86";"";"";"";"OK";"29160.670";"0";"-0.86";"29160.670";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"14301.420";"-3.5";"-0.86";"7395.633";"-3.5";"-0.61";"OK";"14301.420";"-3.5";"-0.86";"14301.420";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"8025.432";"-9";"-2";"";"";"";"OK";"8025.432";"-9";"-2";"8025.432";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"13679.620";"9";"-2";"";"";"";"OK";"13679.620";"9";"-2";"13679.620";"9";"-2"
"4D - 20L (120%)";"360";"-";"1545.605";"-20";"-4";"";"";"";"OK";"1545.605";"-20";"-4";"1545.605";"-20";"-4"
"4D - 20R (120%)";"360";"-";"2937.060";"20";"-4";"";"";"";"OK";"2937.060";"20";"-4";"2937.060";"20";"-4"
"4D - V (120%)";"-";"9600";"10948.500";"0";"-4";"10018.790";"0";"-4.25";"NG";"10948.500";"0";"-4";"10948.500";"0";"-4"
"MAX";"-";"-";"33179.380";"1.56";"-1.12";"";"";"";"OK";"33179.380";"1.56";"-1.12";"33179.380";"1.56";"-1.12"
