sep=;
"Name:";"LQ2 NAS HL LED LOW (STD Assy-LED)(2DOWN) RH#1 2025-07-02"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8138 V";"Date:";"2025-07-03 ¿ÀÀü 1:26:13"
"Current:";"0.00003 A";"File:";"LQ2 NAS HL LED LOW (STD Assy-LED)(2DOWN) RH#1 2025-07-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.049) 116.663";"(-88.8) 3.1";"(10) 11";"(0.049) 116.563";"(-88.8) 3.1";"(10) 11.25";"NG";"0.049";"-88.8";"10";"116.663";"3.1";"11"
"4U - 8R (120%)";"76.8";"-";"143.454";"8";"4";"";"";"";"OK";"143.454";"8";"4";"143.454";"8";"4"
"4U - 8L (120%)";"76.8";"-";"135.057";"-8";"4";"";"";"";"OK";"135.057";"-8";"4";"135.057";"-8";"4"
"2U-4L (120%)";"162";"-";"193.938";"-4";"2";"";"";"";"OK";"193.938";"-4";"2";"193.938";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(299.459) 326.713";"(1) 3";"1.5";"";"";"";"OK";"299.459";"1";"1.5";"326.713";"3";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(194.686) 328.317";"(20) 3.75";"1.5";"";"";"";"OK";"194.686";"20";"1.5";"328.317";"3.75";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(64.868) 311.986";"(-20) -1.5";"1";"";"";"";"OK";"64.868";"-20";"1";"311.986";"-1.5";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(133.996) 382.162";"(-15) -1.5";"0.5";"";"";"";"OK";"133.996";"-15";"0.5";"382.162";"-1.5";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(552.540) 571.845";"(3) 1.2";"0.5";"(943.993) 989.083";"(1) 2.2";"0.25";"OK";"552.540";"3";"0.5";"571.845";"1.2";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(551.641) 570.745";"(3) 1.2";"0.5";"";"";"";"OK";"551.641";"3";"0.5";"570.745";"1.2";"0.5"
"H - 4L (120%)";"162";"-";"413.368";"-4";"0";"";"";"";"OK";"413.368";"-4";"0";"413.368";"-4";"0"
"H - 8L (120%)";"76.8";"-";"534.229";"-8";"0";"";"";"";"OK";"534.229";"-8";"0";"534.229";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"31539.910";"2";"-1.5";"";"";"";"OK";"31539.910";"2";"-1.5";"31539.910";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"4572.537";"-15";"-2";"";"";"";"OK";"4572.537";"-15";"-2";"4572.537";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"7553.583";"15";"-2";"";"";"";"OK";"7553.583";"15";"-2";"7553.583";"15";"-2"
"4D - 4R (120%)";"-";"10000";"10984.480";"4";"-4";"10236.720";"4";"-4.25";"NG";"10984.480";"4";"-4";"10984.480";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"27711.130";"1.3";"-0.6";"";"";"";"OK";"27711.130";"1.3";"-0.6";"27711.130";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"28111.000";"0";"-0.86";"";"";"";"OK";"28111.000";"0";"-0.86";"28111.000";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"13068.820";"-3.5";"-0.86";"5381.278";"-3.5";"-0.61";"OK";"13068.820";"-3.5";"-0.86";"13068.820";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"8075.416";"-9";"-2";"";"";"";"OK";"8075.416";"-9";"-2";"8075.416";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"13512.670";"9";"-2";"";"";"";"OK";"13512.670";"9";"-2";"13512.670";"9";"-2"
"4D - 20L (120%)";"360";"-";"1352.667";"-20";"-4";"";"";"";"OK";"1352.667";"-20";"-4";"1352.667";"-20";"-4"
"4D - 20R (120%)";"360";"-";"2939.059";"20";"-4";"";"";"";"OK";"2939.059";"20";"-4";"2939.059";"20";"-4"
"4D - V (120%)";"-";"9600";"10939.500";"0";"-4";"10086.770";"0";"-4.25";"NG";"10939.500";"0";"-4";"10939.500";"0";"-4"
"MAX";"-";"-";"32739.280";"1.6";"-1.17";"";"";"";"OK";"32739.280";"1.6";"-1.17";"32739.280";"1.6";"-1.17"
