sep=;
"Name:";"LQ2 NAS HL LED LOW (STD Assy-LED)(2UP) RH#1 2025-07-02"
"Number:";""
"Report:";"Lee Bong Gyu"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL CORP.(LAB #3 LMT GO-H1660)"
"Voltage:";"12.8138 V";"Date:";"2025-07-03 ¿ÀÀü 1:01:03"
"Current:";"0.00004 A";"File:";"LQ2 NAS HL LED LOW (STD Assy-LED)(2UP) RH#1 2025-07-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.016) 103.467";"(-88.1) 1.9";"(11) 10";"(0.016) 102.467";"(-88.1) 1.9";"(11) 10.25";"NG";"0.016";"-88.1";"11";"103.467";"1.9";"10"
"4U - 8R (120%)";"76.8";"-";"138.756";"8";"4";"";"";"";"OK";"138.756";"8";"4";"138.756";"8";"4"
"4U - 8L (120%)";"76.8";"-";"131.658";"-8";"4";"";"";"";"OK";"131.658";"-8";"4";"131.658";"-8";"4"
"2U-4L (120%)";"162";"-";"193.738";"-4";"2";"";"";"";"OK";"193.738";"-4";"2";"193.738";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(307.915) 328.532";"(1) 3";"1.5";"";"";"";"OK";"307.915";"1";"1.5";"328.532";"3";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(184.327) 329.177";"(20) 3";"1.5";"";"";"";"OK";"184.327";"20";"1.5";"329.177";"3";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(65.320) 319.670";"(-20) -1.5";"1";"";"";"";"OK";"65.320";"-20";"1";"319.670";"-1.5";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(122.792) 391.455";"(-15) -1.5";"0.5";"";"";"";"OK";"122.792";"-15";"0.5";"391.455";"-1.5";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(581.850) 624.607";"(3) 1.2";"0.5";"(1078.906) 1128.145";"(1) 2.2";"0.25";"OK";"581.850";"3";"0.5";"624.607";"1.2";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(585.949) 629.699";"(3) 1.2";"0.5";"";"";"";"OK";"585.949";"3";"0.5";"629.699";"1.2";"0.5"
"H - 4L (120%)";"162";"-";"456.954";"-4";"0";"";"";"";"OK";"456.954";"-4";"0";"456.954";"-4";"0"
"H - 8L (120%)";"76.8";"-";"534.129";"-8";"0";"";"";"";"OK";"534.129";"-8";"0";"534.129";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"31369.960";"2";"-1.5";"";"";"";"OK";"31369.960";"2";"-1.5";"31369.960";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"4543.546";"-15";"-2";"";"";"";"OK";"4543.546";"-15";"-2";"4543.546";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"7580.574";"15";"-2";"";"";"";"OK";"7580.574";"15";"-2";"7580.574";"15";"-2"
"4D - 4R (120%)";"-";"10000";"10749.560";"4";"-4";"10015.790";"4";"-4.25";"NG";"10749.560";"4";"-4";"10749.560";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"28840.770";"1.3";"-0.6";"";"";"";"OK";"28840.770";"1.3";"-0.6";"28840.770";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"28640.830";"0";"-0.86";"";"";"";"OK";"28640.830";"0";"-0.86";"28640.830";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"13981.530";"-3.5";"-0.86";"6801.823";"-3.5";"-0.61";"OK";"13981.530";"-3.5";"-0.86";"13981.530";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"7988.443";"-9";"-2";"";"";"";"OK";"7988.443";"-9";"-2";"7988.443";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"13517.670";"9";"-2";"";"";"";"OK";"13517.670";"9";"-2";"13517.670";"9";"-2"
"4D - 20L (120%)";"360";"-";"1704.454";"-20";"-4";"";"";"";"OK";"1704.454";"-20";"-4";"1704.454";"-20";"-4"
"4D - 20R (120%)";"360";"-";"2999.040";"20";"-4";"";"";"";"OK";"2999.040";"20";"-4";"2999.040";"20";"-4"
"4D - V (120%)";"-";"9600";"10800.540";"0";"-4";"9931.821";"0";"-4.25";"NG";"10800.540";"0";"-4";"10800.540";"0";"-4"
"MAX";"-";"-";"32877.950";"1.59";"-1.11";"";"";"";"OK";"32877.950";"1.59";"-1.11";"32877.950";"1.59";"-1.11"
